run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T062607Z_9fe26e80,1,normal,1789799168.547817,1789799168.6015375,53.294,0,53.294,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:1"", ""v2:1""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,2,normal,1789799168.6015375,1789799168.6482477,46.53,0,46.53,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:2"", ""v2:2""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,3,normal,1789799168.6489437,1789799168.6729677,24.069,0,24.069,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:3"", ""v2:3""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,4,normal,1789799168.6729677,1789799168.6937304,20.567,0,20.567,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:4"", ""v2:4""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,5,normal,1789799168.6937304,1789799168.7125516,18.746,0,18.746,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:5"", ""v2:5""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,6,normal,1789799168.7125516,1789799168.732191,20.004,0,20.004,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:6"", ""v2:6""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,7,normal,1789799168.732191,1789799168.7510133,18.217,0,18.217,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:7"", ""v2:7""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,8,normal,1789799168.7510133,1789799168.7706797,19.465,0,19.465,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:8"", ""v2:8""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,9,normal,1789799168.7706797,1789799168.7900565,19.6,0,19.6,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:9"", ""v2:9""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,10,normal,1789799168.7900565,1789799168.8090265,18.692,0,18.692,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:10"", ""v2:10""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,11,normal,1789799168.8090265,1789799168.8292458,20.131,0,20.131,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:11"", ""v2:11""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,12,normal,1789799168.8292458,1789799168.848733,19.276,0,19.276,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:12"", ""v2:12""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,13,normal,1789799168.848733,1789799168.8671536,18.746,0,18.746,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:13"", ""v2:13""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,14,normal,1789799168.8677952,1789799168.8865187,18.729,0,18.729,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:14"", ""v2:14""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,15,normal,1789799168.8865187,1789799168.9059997,19.596,0,19.596,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:15"", ""v2:15""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,16,normal,1789799168.9059997,1789799168.9258597,19.932,0,19.932,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:16"", ""v2:16""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,17,normal,1789799168.9264486,1789799168.9459393,19.578,0,19.578,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:17"", ""v2:17""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,18,normal,1789799168.9459393,1789799168.965166,19.092,0,19.092,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:18"", ""v2:18""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,19,normal,1789799168.965166,1789799168.9849079,20.018,0,20.018,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:19"", ""v2:19""], ""snapshot_polls"": 1}"
20260919T062607Z_9fe26e80,20,normal,1789799168.9854872,1789799169.0043957,19.511,0,19.511,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:20"", ""v2:20""], ""snapshot_polls"": 1}"
