run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T070502Z_05c7ebed,1,normal,1789801503.478849,1789801503.5139747,34.771,0,34.771,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:1"", ""v2:1""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,2,normal,1789801503.5139747,1789801503.53715,22.75,0,22.75,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:2"", ""v2:2""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,3,normal,1789801503.53715,1789801503.556897,19.639,0,19.639,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:3"", ""v2:3""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,4,normal,1789801503.556897,1789801503.5960314,38.871,0,38.871,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:4"", ""v2:4""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,5,normal,1789801503.5960314,1789801503.6167662,20.344,0,20.344,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:5"", ""v2:5""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,6,normal,1789801503.6167662,1789801503.636237,19.714,0,19.714,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:6"", ""v2:6""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,7,normal,1789801503.636237,1789801503.658959,22.74,0,22.74,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:7"", ""v2:7""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,8,normal,1789801503.6596022,1789801503.6791267,19.634,0,19.634,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:8"", ""v2:8""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,9,normal,1789801503.6791267,1789801503.6989996,19.921,0,19.921,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:9"", ""v2:9""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,10,normal,1789801503.6989996,1789801503.7189999,19.868,0,19.868,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:10"", ""v2:10""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,11,normal,1789801503.7189999,1789801503.7389479,19.85,0,19.85,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:11"", ""v2:11""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,12,normal,1789801503.7389479,1789801503.7588048,19.47,0,19.47,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:12"", ""v2:12""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,13,normal,1789801503.7588048,1789801503.7782283,19.86,0,19.86,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:13"", ""v2:13""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,14,normal,1789801503.7788513,1789801503.7986927,20.474,0,20.474,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:14"", ""v2:14""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,15,normal,1789801503.799377,1789801503.8226268,23.658,0,23.658,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:15"", ""v2:15""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,16,normal,1789801503.823207,1789801503.8433976,20.403,0,20.403,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:16"", ""v2:16""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,17,normal,1789801503.8433976,1789801503.8627908,19.135,0,19.135,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:17"", ""v2:17""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,18,normal,1789801503.8627908,1789801503.8832624,20.427,0,20.427,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:18"", ""v2:18""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,19,normal,1789801503.8832624,1789801503.903871,20.558,0,20.558,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:19"", ""v2:19""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,20,normal,1789801503.903871,1789801503.9231224,19.257,0,19.257,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:20"", ""v2:20""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,21,normal,1789801503.9231224,1789801503.9435625,20.168,0,20.168,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:21"", ""v2:21""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,22,normal,1789801503.9435625,1789801503.9635186,19.806,0,19.806,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:22"", ""v2:22""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,23,normal,1789801503.9635186,1789801503.984923,21.237,0,21.237,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:23"", ""v2:23""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,24,normal,1789801503.984923,1789801504.0043619,19.492,0,19.492,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:24"", ""v2:24""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,25,normal,1789801504.0043619,1789801504.0243351,19.829,0,19.829,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:25"", ""v2:25""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,26,normal,1789801504.0243351,1789801504.0447905,20.53,0,20.53,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:26"", ""v2:26""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,27,normal,1789801504.0447905,1789801504.0658073,20.595,0,20.595,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:27"", ""v2:27""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,28,normal,1789801504.0658073,1789801504.0875528,22.093,0,22.093,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:28"", ""v2:28""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,29,normal,1789801504.0875528,1789801504.1082318,19.916,0,19.916,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:29"", ""v2:29""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,30,normal,1789801504.1082318,1789801504.1300685,21.705,0,21.705,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:30"", ""v2:30""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,31,normal,1789801504.1300685,1789801504.153088,22.841,0,22.841,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:31"", ""v2:31""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,32,normal,1789801504.153088,1789801504.173185,20.424,0,20.424,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:32"", ""v2:32""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,33,normal,1789801504.173756,1789801504.1925087,19.162,0,19.162,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:33"", ""v2:33""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,34,normal,1789801504.1925087,1789801504.214514,21.678,0,21.678,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:34"", ""v2:34""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,35,normal,1789801504.214514,1789801504.2344625,20.063,0,20.063,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:35"", ""v2:35""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,36,normal,1789801504.2344625,1789801504.2546542,19.739,0,19.739,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:36"", ""v2:36""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,37,normal,1789801504.2546542,1789801504.2734652,19.067,0,19.067,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:37"", ""v2:37""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,38,normal,1789801504.2734652,1789801504.2935798,19.754,0,19.754,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:38"", ""v2:38""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,39,normal,1789801504.2935798,1789801504.3162422,22.798,0,22.798,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:39"", ""v2:39""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,40,normal,1789801504.3167892,1789801504.3369937,20.787,0,20.787,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:40"", ""v2:40""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,41,normal,1789801504.337624,1789801504.3565276,19.037,0,19.037,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:41"", ""v2:41""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,42,normal,1789801504.3565276,1789801504.3752775,18.807,0,18.807,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:42"", ""v2:42""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,43,normal,1789801504.3752775,1789801504.3953884,19.871,0,19.871,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:43"", ""v2:43""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,44,normal,1789801504.3953884,1789801504.4157438,20.226,0,20.226,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:44"", ""v2:44""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,45,normal,1789801504.4157438,1789801504.4356725,19.86,0,19.86,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:45"", ""v2:45""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,46,normal,1789801504.4356725,1789801504.455324,19.488,0,19.488,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:46"", ""v2:46""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,47,normal,1789801504.455324,1789801504.4779115,22.386,0,22.386,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:47"", ""v2:47""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,48,normal,1789801504.4779115,1789801504.497692,19.881,0,19.881,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:48"", ""v2:48""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,49,normal,1789801504.497692,1789801504.516986,18.921,0,18.921,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:49"", ""v2:49""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,50,normal,1789801504.516986,1789801504.536766,20.062,0,20.062,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:50"", ""v2:50""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,51,normal,1789801504.536766,1789801504.5574362,20.265,0,20.265,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:51"", ""v2:51""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,52,normal,1789801504.5574362,1789801504.5774806,19.88,0,19.88,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:52"", ""v2:52""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,53,normal,1789801504.5774806,1789801504.5973196,19.918,0,19.918,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:53"", ""v2:53""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,54,normal,1789801504.5973196,1789801504.6168854,19.527,0,19.527,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:54"", ""v2:54""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,55,normal,1789801504.6168854,1789801504.6395829,22.464,0,22.464,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:55"", ""v2:55""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,56,normal,1789801504.6395829,1789801504.6586642,18.842,0,18.842,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:56"", ""v2:56""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,57,normal,1789801504.6586642,1789801504.6773424,18.651,0,18.651,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:57"", ""v2:57""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,58,normal,1789801504.6773424,1789801504.6950057,17.931,0,17.931,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:58"", ""v2:58""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,59,normal,1789801504.6957326,1789801504.7133899,18.141,0,18.141,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:59"", ""v2:59""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,60,normal,1789801504.7139513,1789801504.7338784,19.932,0,19.932,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:60"", ""v2:60""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,61,normal,1789801504.7338784,1789801504.7534769,19.905,0,19.905,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:61"", ""v2:61""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,62,normal,1789801504.7534769,1789801504.7729883,18.977,0,18.977,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:62"", ""v2:62""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,63,normal,1789801504.7729883,1789801504.794368,21.246,0,21.246,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:63"", ""v2:63""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,64,normal,1789801504.794368,1789801504.8134952,19.137,0,19.137,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:64"", ""v2:64""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,65,normal,1789801504.8134952,1789801504.8335197,19.805,0,19.805,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:65"", ""v2:65""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,66,normal,1789801504.8335197,1789801504.8544235,21.032,0,21.032,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:66"", ""v2:66""], ""snapshot_polls"": 1}"
20260919T070502Z_05c7ebed,67,normal,1789801504.8544235,1789801504.8742971,19.487,0,19.487,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:67"", ""v2:67""], ""snapshot_polls"": 1}"
