run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T144715Z_7d0c7ce4,1,normal,1789742835.6537728,1789742835.7293298,75.538,0,75.538,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:1"", ""v2:1""], ""snapshot_polls"": 1}"
20260918T144715Z_7d0c7ce4,2,normal,1789742835.7293298,1789742835.7620916,32.43,0,32.43,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:2"", ""v2:2""], ""snapshot_polls"": 2}"
20260918T144715Z_7d0c7ce4,3,normal,1789742835.762764,1789742835.7990212,36.131,0,36.131,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:3"", ""v2:3""], ""snapshot_polls"": 2}"
20260918T144715Z_7d0c7ce4,4,normal,1789742835.7990212,1789742835.8339314,35.075,0,35.075,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:4"", ""v2:4""], ""snapshot_polls"": 2}"
20260918T144715Z_7d0c7ce4,5,normal,1789742835.8345308,1789742835.864716,30.341,0,30.341,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:5"", ""v2:5""], ""snapshot_polls"": 2}"
20260918T144715Z_7d0c7ce4,6,normal,1789742835.864716,1789742835.890489,25.637,0,25.637,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:6"", ""v2:6""], ""snapshot_polls"": 2}"
20260918T144715Z_7d0c7ce4,7,normal,1789742835.890489,1789742835.919056,28.523,0,28.523,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:7"", ""v2:7""], ""snapshot_polls"": 2}"
20260918T144715Z_7d0c7ce4,8,normal,1789742835.919056,1789742835.9490285,29.825,0,29.825,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:8"", ""v2:8""], ""snapshot_polls"": 2}"
20260918T144715Z_7d0c7ce4,9,normal,1789742835.9490285,1789742835.9788284,29.44,0,29.44,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:9"", ""v2:9""], ""snapshot_polls"": 2}"
20260918T144715Z_7d0c7ce4,10,normal,1789742835.9788284,1789742836.0097857,31.159,0,31.159,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:10"", ""v2:10""], ""snapshot_polls"": 2}"
