run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060913Z_efd9c441,1,normal,1789798153.9914007,1789798154.0446055,52.959,0,52.959,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:1"", ""v2:1""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,2,normal,1789798154.0446055,1789798154.064033,19.25,0,19.25,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:2"", ""v2:2""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,3,normal,1789798154.0646431,1789798154.085193,20.86,0,20.86,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:3"", ""v2:3""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,4,normal,1789798154.0858014,1789798154.1076114,21.978,0,21.978,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:4"", ""v2:4""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,5,normal,1789798154.1076114,1789798154.129912,22.187,0,22.187,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:5"", ""v2:5""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,6,normal,1789798154.129912,1789798154.1516829,21.34,0,21.34,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:6"", ""v2:6""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,7,normal,1789798154.1516829,1789798154.1745872,22.976,0,22.976,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:7"", ""v2:7""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,8,normal,1789798154.1745872,1789798154.1932776,18.838,0,18.838,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:8"", ""v2:8""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,9,normal,1789798154.1938932,1789798154.2142446,20.914,0,20.914,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:9"", ""v2:9""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,10,transition,1789798154.2149103,1789798160.6425507,6427.838,6149.014,278.824,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:10"", ""v2:10""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,11,fault,1789798160.6425507,1789798160.6885536,45.938,0,45.938,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:11"", ""v2:11""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,12,fault,1789798160.6885536,1789798160.7103105,21.776,0,21.776,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:12"", ""v2:12""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,13,fault,1789798160.7108784,1789798160.7348657,24.179,0,24.179,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:13"", ""v2:13""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,14,fault,1789798160.7348657,1789798160.7566926,21.654,0,21.654,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:14"", ""v2:14""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,15,fault,1789798160.7566926,1789798160.7772746,20.722,0,20.722,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:15"", ""v2:15""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,16,fault,1789798160.7778718,1789798160.7987537,21.28,0,21.28,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:16"", ""v2:16""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,17,fault,1789798160.7993214,1789798160.821694,22.56,0,22.56,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:17"", ""v2:17""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,18,fault,1789798160.821694,1789798160.84336,21.229,0,21.229,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:18"", ""v2:18""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,19,fault,1789798160.84336,1789798160.864268,21.21,0,21.21,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:19"", ""v2:19""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,20,recovery,1789798161.9671018,1789798161.9902523,23.241,0,23.241,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:20"", ""v2:20""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,21,recovery,1789798161.9902523,1789798162.0173516,26.972,0,26.972,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:21"", ""v2:21""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,22,recovery,1789798162.0173516,1789798162.0396867,22.338,0,22.338,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:22"", ""v2:22""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,23,recovery,1789798162.0402322,1789798162.0615714,21.624,0,21.624,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:23"", ""v2:23""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,24,recovery,1789798162.0615714,1789798162.0857804,23.888,0,23.888,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:24"", ""v2:24""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,25,recovery,1789798162.0857804,1789798162.1094785,23.742,0,23.742,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:25"", ""v2:25""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,26,recovery,1789798162.1094785,1789798162.1334448,24.111,0,24.111,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:26"", ""v2:26""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,27,recovery,1789798162.1340075,1789798162.1565793,22.969,0,22.969,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:27"", ""v2:27""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,28,recovery,1789798162.157188,1789798162.1837838,26.794,0,26.794,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:28"", ""v2:28""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,29,recovery,1789798162.1837838,1789798162.209126,25.541,0,25.541,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:29"", ""v2:29""], ""snapshot_polls"": 1}"
20260919T060913Z_efd9c441,30,recovery,1789798162.2096949,1789798162.2315462,21.803,0,21.803,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:30"", ""v2:30""], ""snapshot_polls"": 1}"
