run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060351Z_a223860c,1,normal,1789797832.6517205,1789797832.7182512,66.339,0,66.339,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:1"", ""v2:1""], ""snapshot_polls"": 1}"
20260919T060351Z_a223860c,2,normal,1789797832.7188513,1789797832.7394307,20.529,0,20.529,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:2"", ""v2:2""], ""snapshot_polls"": 1}"
20260919T060351Z_a223860c,3,normal,1789797832.7400472,1789797832.7787797,38.8,0,38.8,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:3"", ""v2:3""], ""snapshot_polls"": 1}"
20260919T060351Z_a223860c,4,normal,1789797832.7793767,1789797832.7978723,18.757,0,18.757,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:4"", ""v2:4""], ""snapshot_polls"": 1}"
20260919T060351Z_a223860c,5,normal,1789797832.7978723,1789797832.8177757,19.971,0,19.971,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:5"", ""v2:5""], ""snapshot_polls"": 1}"
20260919T060351Z_a223860c,6,normal,1789797832.8184154,1789797832.8431797,25.22,0,25.22,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:6"", ""v2:6""], ""snapshot_polls"": 1}"
20260919T060351Z_a223860c,7,normal,1789797832.843761,1789797832.8666325,23.185,0,23.185,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:7"", ""v2:7""], ""snapshot_polls"": 1}"
20260919T060351Z_a223860c,8,normal,1789797832.8666325,1789797832.8864994,19.563,0,19.563,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:8"", ""v2:8""], ""snapshot_polls"": 1}"
20260919T060351Z_a223860c,9,normal,1789797832.8864994,1789797832.9067926,20.421,0,20.421,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:9"", ""v2:9""], ""snapshot_polls"": 1}"
20260919T060351Z_a223860c,10,transition,1789797832.9067926,1789797843.8344986,10927.316,893.916,10033.399,error,"NetworkTimeout: mongo2:27018: timed out (configured timeouts: socketTimeoutMS: 10000.0ms, connectTimeoutMS: 5000.0ms)",client_b_write,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""error_type"": ""NetworkTimeout"", ""error_code"": null}"
