run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060149Z_8a2dfdcc,1,normal,1789797710.629062,1789797710.6890001,60.536,0,60.536,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:1"", ""v2:1""], ""snapshot_polls"": 1}"
20260919T060149Z_8a2dfdcc,2,normal,1789797710.6896892,1789797710.7174268,27.708,0,27.708,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:2"", ""v2:2""], ""snapshot_polls"": 2}"
20260919T060149Z_8a2dfdcc,3,normal,1789797710.7186651,1789797710.7463558,27.665,0,27.665,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:3"", ""v2:3""], ""snapshot_polls"": 2}"
20260919T060149Z_8a2dfdcc,4,normal,1789797710.7463558,1789797710.764163,17.902,0,17.902,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:4"", ""v2:4""], ""snapshot_polls"": 1}"
20260919T060149Z_8a2dfdcc,5,normal,1789797710.7647412,1789797710.7940757,29.293,0,29.293,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:5"", ""v2:5""], ""snapshot_polls"": 2}"
20260919T060149Z_8a2dfdcc,6,normal,1789797710.7940757,1789797710.8208396,26.718,0,26.718,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:6"", ""v2:6""], ""snapshot_polls"": 2}"
20260919T060149Z_8a2dfdcc,7,normal,1789797710.8208396,1789797710.8500013,29.116,0,29.116,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:7"", ""v2:7""], ""snapshot_polls"": 2}"
20260919T060149Z_8a2dfdcc,8,normal,1789797710.8500013,1789797710.8821764,32.159,0,32.159,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:8"", ""v2:8""], ""snapshot_polls"": 2}"
20260919T060149Z_8a2dfdcc,9,normal,1789797710.8821764,1789797710.9132886,30.919,0,30.919,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:9"", ""v2:9""], ""snapshot_polls"": 2}"
20260919T060149Z_8a2dfdcc,10,transition,1789797710.9132886,1789797721.8466182,10933.302,912.426,10020.875,error,"NetworkTimeout: mongo1:27017: timed out (configured timeouts: socketTimeoutMS: 10000.0ms, connectTimeoutMS: 5000.0ms)",client_b_write,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""error_type"": ""NetworkTimeout"", ""error_code"": null}"
20260919T060149Z_8a2dfdcc,11,fault,1789797721.8466182,1789797722.8951476,1048.38,0,1048.38,not_observed,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [], ""snapshot_polls"": 67}"
20260919T060149Z_8a2dfdcc,12,fault,1789797722.8951476,1789797723.8377793,942.594,0,942.594,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:12"", ""v2:12""], ""snapshot_polls"": 62}"
20260919T060149Z_8a2dfdcc,13,fault,1789797723.8377793,1789797724.8492653,1011.076,0,1011.076,not_observed,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [], ""snapshot_polls"": 67}"
20260919T060149Z_8a2dfdcc,14,fault,1789797724.8492653,1789797725.8399189,990.557,0,990.557,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:14"", ""v2:14""], ""snapshot_polls"": 67}"
20260919T060149Z_8a2dfdcc,15,fault,1789797725.8399189,1789797726.8447466,1004.859,0,1004.859,not_observed,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [], ""snapshot_polls"": 68}"
20260919T060149Z_8a2dfdcc,16,fault,1789797726.8447466,1789797727.8436463,998.765,0,998.765,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:16"", ""v2:16""], ""snapshot_polls"": 67}"
20260919T060149Z_8a2dfdcc,17,fault,1789797727.8436463,1789797728.8410513,997.309,0,997.309,not_observed,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [], ""snapshot_polls"": 65}"
20260919T060149Z_8a2dfdcc,18,fault,1789797728.8410513,1789797729.8414133,1000.083,0,1000.083,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:18"", ""v2:18""], ""snapshot_polls"": 73}"
20260919T060149Z_8a2dfdcc,19,fault,1789797729.8414133,1789797730.844276,1002.812,0,1002.812,not_observed,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [], ""snapshot_polls"": 72}"
20260919T060149Z_8a2dfdcc,20,recovery,1789797731.5504966,1789797731.8375976,287.103,0,287.103,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:20"", ""v2:20""], ""snapshot_polls"": 21}"
20260919T060149Z_8a2dfdcc,21,recovery,1789797731.8375976,1789797731.9080174,70.13,0,70.13,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:21"", ""v2:21""], ""snapshot_polls"": 5}"
20260919T060149Z_8a2dfdcc,22,recovery,1789797731.9080174,1789797732.9133887,1005.545,0,1005.545,not_observed,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [], ""snapshot_polls"": 71}"
